Wavelength,LED_R,Kerosine,LED_S
643,0.00050622,0.003568501,0.001232609
644,0.00045266,0.003573869,0.001160803
645,0.000452995,0.003555732,0.001218027
646,0.000477323,0.003606746,0.001295105
647,0.000478285,0.003736332,0.001244609
648,0.000451001,0.00371051,0.001151264
649,0.000409739,0.003615935,0.001070294
650,0.000403716,0.003487075,0.001032579
651,0.000443365,0.003403663,0.001032066
652,0.00050999,0.003505693,0.001034659
653,0.000502251,0.003651933,0.000985889
654,0.00049641,0.003646118,0.001006534
655,0.000499698,0.003644752,0.00101277
656,0.00053692,0.003655445,0.001001295
657,0.000517699,0.003789953,0.00094766
658,0.000366786,0.003820386,0.000857206
659,0.000278099,0.003723883,0.000817743
660,0.000269399,0.003596191,0.000856851
661,0.000269399,0.003674299,0.000878598
662,0.000269399,0.00380244,0.000876638
663,0.000276043,0.003862954,0.000852977
664,0.000276043,0.003936581,0.000826006
665,0.000272962,0.003958297,0.000800897
666,0.000251069,0.003850572,0.000714456
667,0.000226086,0.003759511,0.000597768
668,0.000227498,0.003750651,0.000568682
669,0.000270455,0.003750561,0.000588086
670,0.000277265,0.003903648,0.00058798
671,0.000278888,0.003965348,0.000594178
672,0.000280418,0.004019501,0.000658151
673,0.000277726,0.004053604,0.000707636
674,0.000257266,0.004075459,0.00070785
675,0.000288067,0.004032153,0.000751592
676,0.000400094,0.004111988,0.000875079
677,0.00042119,0.004384784,0.000943178
678,0.000375003,0.00451669,0.000960126
679,0.000359388,0.004457333,0.000882371
680,0.000342444,0.004336137,0.000725782
681,0.000342444,0.004288744,0.000655325
682,0.000355929,0.004347745,0.000634234
683,0.000369928,0.004388169,0.000746738
684,0.000366606,0.004547418,0.000839419
685,0.000363284,0.00461201,0.000840241
686,0.000363284,0.004537333,0.000840327
687,0.000382268,0.004518382,0.000866581
688,0.000466173,0.004643412,0.000960824
689,0.000500894,0.00475128,0.001017914
690,0.000464237,0.004890548,0.00100205
691,0.000441034,0.00475727,0.000990105
692,0.000437709,0.004601271,0.000972673
693,0.000437709,0.004461428,0.000933331
694,0.000392825,0.004328279,0.000823748
695,0.000393828,0.004080744,0.000793764
696,0.000556738,0.003977254,0.000993841
697,0.00054207,0.004228776,0.000993779
698,0.000453621,0.004151169,0.000960564
699,0.000447953,0.004042201,0.000979022
700,0.000447953,0.0040824,0.000978013
